n	∆_{(n)}
 	p_{n+1} - p_n
2195	4
2196	12
2197	14
2198	4
2199	2
2200	4
2201	2
2202	4
2203	8
2204	6
2205	10
2206	6
2207	6
2208	2
2209	6
2210	6
2211	6
2212	12
2213	6
2214	24
2215	10
2216	2
2217	10
2218	6
2219	12
2220	6
2221	6
2222	14
2223	6
2224	6
2225	52
2226	20
2227	6
2228	10
2229	2
2230	10
2231	8
2232	10
2233	12
2234	12
2235	2
2236	6
2237	4
2238	14
2239	16
2240	8
2241	12
2242	6
2243	22
2244	2
2245	10
2246	8
2247	6
2248	22
2249	2
2250	22
2251	6
2252	8
2253	10
2254	12
2255	12
2256	2
2257	10
2258	6
2259	12
2260	2
2261	4
2262	14
2263	10
2264	2
2265	6
2266	18
2267	4
2268	12
2269	8
2270	18
2271	12
2272	6
2273	6
2274	4
2275	6
2276	6
2277	14
2278	4
2279	2
2280	12
2281	12
2282	4
2283	6
2284	18
2285	18
2286	12
2287	2
2288	16
2289	12
2290	8
2291	18
2292	10
2293	26
2294	4
2295	6
2296	8
2297	6
2298	6
2299	4
2300	2
2301	10
2302	20
2303	4
2304	6
2305	8
2306	4
2307	20
2308	10
2309	2
2310	34
2311	2
2312	4
2313	24
2314	2
2315	12
2316	12
2317	10
2318	6
2319	2
2320	12
2321	30
2322	6
2323	12
2324	16
2325	12
2326	2
2327	22
2328	18
2329	12
2330	14
2331	10
2332	2
2333	12
2334	12
2335	4
2336	2
2337	4
2338	6
2339	12
2340	2
2341	16
2342	18
2343	2
2344	40
2345	8
2346	16
2347	6
2348	8
2349	10
2350	2
2351	4
2352	18
2353	8
2354	10
2355	8
2356	12
2357	4
2358	18
2359	2
2360	18
2361	10
2362	2
2363	4
2364	2
2365	4
2366	8
2367	28
2368	2
2369	6
2370	22
2371	12
2372	6
2373	14
2374	18
2375	4
2376	6
2377	8
2378	6
2379	6
2380	10
2381	8
2382	4
2383	2
2384	18
2385	10
2386	6
2387	20
2388	22
2389	8
2390	6
2391	30
2392	4
2393	2
2394	4
2395	18
2396	6
2397	30
2398	2
2399	4
2400	8
2401	6
2402	4
2403	6
2404	12
2405	14
2406	34
2407	14
2408	6
2409	4
2410	2
2411	6
2412	4
2413	14
2414	4
2415	2
2416	6
2417	28
2418	2
2419	4
2420	6
2421	8
2422	10
2423	2
2424	10
2425	2
2426	10
2427	2
2428	4
2429	30
2430	2
2431	12
2432	12
2433	10
2434	18
2435	12
2436	14
2437	10
2438	2
2439	12
2440	6
2441	10
2442	6
2443	14
2444	12
2445	4
2446	14
2447	4
2448	18
2449	2
2450	10
2451	8
2452	4
2453	8
2454	10
2455	12
2456	18
2457	18
2458	8
2459	6
2460	18
2461	16
2462	14
2463	6
2464	6
2465	10
2466	14
